period,respondent,respondent-name,type,type-name,value,value-units
2023-12-21T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45735,megawatthours
2023-12-21T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46812,megawatthours
2023-12-21T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47355,megawatthours
2023-12-21T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47630,megawatthours
2023-12-21T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46667,megawatthours
2023-12-20T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45176,megawatthours
2023-12-20T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45086,megawatthours
2023-12-20T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45169,megawatthours
2023-12-20T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45285,megawatthours
2023-12-20T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45497,megawatthours
2023-12-20T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45875,megawatthours
2023-12-20T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46438,megawatthours
2023-12-20T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47590,megawatthours
2023-12-20T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48242,megawatthours
2023-12-20T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48259,megawatthours
2023-12-20T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46813,megawatthours
2023-12-20T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43927,megawatthours
2023-12-20T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41986,megawatthours
2023-12-20T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41140,megawatthours
2023-12-20T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41088,megawatthours
2023-12-20T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41524,megawatthours
2023-12-20T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42435,megawatthours
2023-12-20T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43992,megawatthours
2023-12-20T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45998,megawatthours
2023-12-20T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47972,megawatthours
2023-12-20T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49036,megawatthours
